Preliminary report: 20 October 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: BIS reporting banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of international positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In billions of US dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dec.1977,Mar.1978,Jun.1978,Sep.1978,Dec.1978,Mar.1979,Jun.1979,Sep.1979,Dec.1979,Mar.1980,Jun.1980,Sep.1980,Dec.1980,Mar.1981,Jun.1981,Sep.1981,Dec.1981,Mar.1982,Jun.1982,Sep.1982,Dec.1982,Mar.1983,Jun.1983,Sep.1983,Dec.1983,Mar.1984,Jun.1984,Sep.1984,Dec.1984,Mar.1985,Jun.1985,Sep.1985,Dec.1985,Mar.1986,Jun.1986,Sep.1986,Dec.1986,Mar.1987,Jun.1987,Sep.1987,Dec.1987,Mar.1988,Jun.1988,Sep.1988,Dec.1988,Mar.1989,Jun.1989,Sep.1989,Dec.1989,Mar.1990,Jun.1990,Sep.1990,Dec.1990,Mar.1991,Jun.1991,Sep.1991,Dec.1991,Mar.1992,Jun.1992,Sep.1992,Dec.1992,Mar.1993,Jun.1993,Sep.1993,Dec.1993,Mar.1994,Jun.1994,Sep.1994,Dec.1994,Mar.1995,Jun.1995,Sep.1995,Dec.1995,Mar.1996,Jun.1996,Sep.1996,Dec.1996,Mar.1997,Jun.1997,Sep.1997,Dec.1997,Mar.1998,Jun.1998,Sep.1998,Dec.1998,Mar.1999,Jun.1999,Sep.1999,Dec.1999,Mar.2000,Jun.2000,Sep.2000,Dec.2000,Mar.2001,Jun.2001,Sep.2001,Dec.2001,Mar.2002,Jun.2002,Sep.2002,Dec.2002,Mar.2003,Jun.2003,Sep.2003,Dec.2003,Mar.2004,Jun.2004,Sep.2004,Dec.2004,Mar.2005,Jun.2005,Sep.2005,Dec.2005,Mar.2006,Jun.2006,Sep.2006,Dec.2006,Mar.2007,Jun.2007,Sep.2007,Dec.2007,Mar.2008,Jun.2008,Sep.2008,Dec.2008,Mar.2009,Jun.2009,Sep.2009,Dec.2009,Mar.2010,Jun.2010,Sep.2010,Dec.2010,Mar.2011,Jun.2011
A. Total assets,Q:M:A:A:C:5A:5J,846.506,870.151,900.824,981.621,1084.701,1078.778,1154.772,1267.978,1352.972,1379.733,1490.912,1544.769,1640.812,1685.246,1681.058,1788.436,1933.896,1971.228,1959.618,2050.969,2119.734,2153.964,2109.473,2162.146,2608.804,2690.671,2681.136,2651.004,2694.094,2794.704,2788.495,2971.486,3205.858,3360.428,3498.995,3847.838,4104.19,4360.969,4535.05,4782.668,5260.701,5307.849,5199.32,5440.406,5616.48,5811.043,5682.536,6073.455,6582.316,6707.933,6795.179,7360.43,7694.125,7320.087,7043.37,7249.951,7627.872,7313.999,7469.566,7960.221,7537.702,7591.271,7514.231,7787.437,7827.362,8008.723,8078.49,8326.686,8489.148,9221.644,9453.051,9321.925,9495.311,9497.972,9446.664,9633.684,9791.71,9890.093,10184.118,10243.973,10740.385,10638.406,10871.944,11281.76,11385.508,10891.358,10790.997,11266.337,11181.721,11541.246,11663.089,11551.88,12280.885,12764.106,12471.747,12859.01,13176.738,13235.223,14239.563,14244.914,15058.99,16017.149,16972.912,17144.988,18357.565,19731.542,19909.064,20255.702,21853.831,22760.695,23116.526,23574.02,23917.01,25899.459,27312.206,27781.163,29372.774,32131.05,33679.696,35614.488,37384.91,40529.387,39352.91,37709.772,35363.032,33430.646,34181.043,34506.373,33838.126,33481.372,32482.684,34917.242,33939.271,35337.627,35604.332
claims on banks,Q:M:A:A:C:5A:5J - Q:M:A:A:D:5A:5J,583.598,593.235,611.743,673.932,723.406,707.35,765.47,856.251,917.716,939.192,1002.14,1037.619,1119.469,1158.864,1149.471,1224.61,1327.64,1365.41,1340.313,1417.489,1459.392,1488.387,1442.165,1485.279,1772.012,1830.15,1832.088,1802.077,1835.547,1920.874,1901.109,2042.111,2216.896,2325.128,2422.455,2714.915,2936.053,3100.425,3225.53,3439.591,3787.625,3815.597,3733.854,3953.748,4046.17,4205.18,4070.865,4373.511,4787.759,4837.635,4837.48,5254.556,5500.397,5179.925,4903.425,5045.102,5310.856,5061.144,5128.144,5492.549,5173.368,5196.24,5101.752,5329.371,5333.408,5470.295,5536.509,5752.04,5911.71,6439.347,6555.87,6471.346,6496.46,6467.3,6361.248,6486.778,6523.65,6609.316,6807.374,6808.233,7245.445,7131.829,7244.556,7566.267,7645.528,7226.584,7028.553,7364.465,7292.459,7561.562,7606.34,7531.578,8040.59,8342.719,8054.844,8290.803,8503.522,8523.39,9140.751,9032.037,9624.469,10238.217,10881.893,10820.012,11624.824,12540.141,12701.709,12775.32,13754.833,14269.153,14542.909,14765.732,14901.53,16155.96,17014.245,17392.882,18207.12,20200.084,21021.677,22220.721,23372.209,25400.498,24569.773,23505.18,22279.673,20876.185,21217.48,21375.762,21084.515,20794.568,20327.138,21716.206,20945.25,21767.229,21759.99
claims on non-banks,Q:M:A:A:D:5A:5J,262.908,276.916,289.081,307.689,361.295,371.428,389.302,411.727,435.256,440.541,488.772,507.15,521.343,526.382,531.587,563.826,606.256,605.818,619.305,633.48,660.342,665.577,667.308,676.867,836.792,860.521,849.048,848.927,858.547,873.83,887.386,929.375,988.962,1035.3,1076.54,1132.923,1168.137,1260.544,1309.52,1343.077,1473.076,1492.252,1465.466,1486.658,1570.31,1605.863,1611.671,1699.944,1794.557,1870.298,1957.699,2105.874,2193.728,2140.162,2139.945,2204.849,2317.016,2252.855,2341.422,2467.672,2364.334,2395.031,2412.479,2458.066,2493.954,2538.428,2541.981,2574.646,2577.438,2782.297,2897.181,2850.579,2998.851,3030.672,3085.416,3146.906,3268.06,3280.777,3376.744,3435.74,3494.94,3506.577,3627.388,3715.493,3739.98,3664.774,3762.444,3901.872,3889.262,3979.684,4056.749,4020.302,4240.295,4421.387,4416.903,4568.207,4673.216,4711.833,5098.812,5212.877,5434.521,5778.932,6091.019,6324.976,6732.741,7191.401,7207.355,7480.382,8098.998,8491.542,8573.617,8808.288,9015.48,9743.499,10297.961,10388.281,11165.654,11930.966,12658.019,13393.767,14012.701,15128.889,14783.137,14204.592,13083.359,12554.461,12963.563,13130.611,12753.611,12686.804,12155.546,13201.036,12994.021,13570.398,13844.342
B. External assets,Q:M:A:A:C:5A:3P,692.398,711.094,737.25,804.215,893.649,883.827,947.138,1042.374,1110.929,1118.473,1206.317,1248.131,1321.873,1351.68,1347.792,1428.426,1550.997,1561.659,1575.924,1629.715,1695.244,1706.43,1699.591,1718.492,2111.497,2155.891,2169.381,2128.039,2168.781,2237.61,2259.376,2374.019,2583.293,2674.187,2805.777,3045.553,3289.833,3463.853,3637.031,3833.452,4220.065,4240.959,4207.137,4379.368,4535.611,4659.264,4586.931,4875.082,5370.21,5410.95,5540.293,5997.077,6297.567,5977.671,5785.915,5953.602,6249.439,6000.988,6164.289,6561.5,6240.902,6299.567,6263.581,6496.164,6522.042,6666.051,6758.234,6962.053,7116.611,7730.371,7985.196,7888.01,8072.67,8047.199,8016.466,8166.25,8326.831,8396.92,8704.43,8784.707,9254.568,9111.244,9329.876,9712.94,9881.698,9623.505,9536.517,9960.741,9926.683,10175.368,10274.323,10173.241,10773.935,11173.432,10929.114,11273.1,11625.56,11621.52,12573.039,12611.586,13316.482,14070.624,14904.544,14997.837,16012.456,17221.638,17373.047,17705.971,19198.555,19836.871,20277.845,20715.411,21133.928,22818.806,24117.119,24626.07,26093.09,28476.735,29958.386,31729.372,33440.62,36057.082,35111.173,33512.565,31292.007,29741.343,30431.748,30776.12,30078.576,29768.011,28884.232,31036.259,30137.76,31411.272,31566.521
claims on banks,Q:M:A:A:C:5A:3P - Q:M:A:A:D:5A:3P,493.3,499.018,516.328,565.94,607.133,590.176,640.12,715.007,762.959,771.079,822.632,848.66,913.565,938.668,934.177,988.276,1077.668,1089.61,1092.321,1134.897,1179.474,1187.515,1180.725,1194.062,1447.825,1480.912,1502.624,1465.335,1501.443,1564.16,1571.073,1656.969,1814.666,1882.007,1989.646,2203.188,2428.05,2549.976,2705.95,2881.543,3184.465,3199.948,3178.12,3345.682,3452.271,3567.829,3495.53,3718.039,4150.917,4155.296,4218.136,4552.972,4775.126,4490.417,4298.231,4405.08,4613.001,4383.07,4462.615,4764.33,4490.263,4511.451,4441.294,4630.948,4599.3,4704.643,4784.859,4960.159,5108.97,5557.935,5696.929,5616.011,5664.752,5616.836,5535.931,5620.976,5687.492,5748.835,5939.359,5946.67,6364.691,6201.54,6310.257,6626.281,6759.7,6498.813,6327.658,6627.307,6587.568,6816.045,6863.1,6779.183,7241.926,7470.808,7218.986,7429.736,7710.022,7662.025,8275.775,8188.84,8726.258,9170.731,9712.85,9611.198,10323.101,11120.982,11254.518,11310.653,12246.819,12592.557,12931.046,13148.863,13402.34,14499.065,15307.951,15721.274,16526.111,18274.444,19118.822,20267.647,21504.658,23275.952,22579.905,21506.241,20290.378,19117.506,19418.947,19561.921,19250.813,19011.547,18599.402,19851.129,19121.883,19868.416,19785.988
claims on non-banks,Q:M:A:A:D:5A:3P,199.098,212.076,220.922,238.275,286.516,293.651,307.018,327.367,347.97,347.394,383.685,399.471,408.308,413.012,413.615,440.15,473.329,472.049,483.603,494.818,515.77,518.915,518.866,524.43,663.672,674.979,666.757,662.704,667.338,673.45,688.303,717.05,768.627,792.18,816.131,842.365,861.783,913.877,931.081,951.909,1035.6,1041.011,1029.017,1033.686,1083.34,1091.435,1091.401,1157.043,1219.293,1255.654,1322.157,1444.105,1522.441,1487.254,1487.684,1548.522,1636.438,1617.918,1701.674,1797.17,1750.639,1788.116,1822.287,1865.216,1922.742,1961.408,1973.375,2001.894,2007.641,2172.436,2288.267,2271.999,2407.918,2430.363,2480.535,2545.274,2639.339,2648.085,2765.071,2838.037,2889.877,2909.704,3019.619,3086.659,3121.998,3124.692,3208.859,3333.434,3339.115,3359.323,3411.223,3394.058,3532.009,3702.624,3710.128,3843.364,3915.538,3959.495,4297.264,4422.746,4590.224,4899.893,5191.694,5386.639,5689.355,6100.656,6118.529,6395.318,6951.736,7244.314,7346.799,7566.548,7731.588,8319.741,8809.168,8904.796,9566.979,10202.291,10839.564,11461.725,11935.962,12781.13,12531.268,12006.324,11001.629,10623.837,11012.801,11214.199,10827.763,10756.464,10284.83,11185.13,11015.877,11542.856,11780.533
1. Loans and deposits,Q:M:G:A:C:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7139.157,7031.23,6973.934,7081.64,7204.789,7267.971,7551.889,7490.898,7902.603,7710.745,7805.145,8108.007,8210.65,7694.495,7511.851,7796.78,7874.633,8037.52,8004.937,7899.887,8317.608,8582.502,8377.456,8576.459,8869.368,8824.22,9411.794,9378.153,9999.487,10579.054,11170.673,11147.376,11878.534,12695.047,12733.572,12829.763,13847.059,14378.808,14747.354,15094.413,15225.958,16514.244,17412.878,17963.495,18955.622,20921.719,21976.538,23276.118,24557.023,26831.349,25939.839,24864.573,22902.465,21730.697,22049.806,22079.504,21661.071,21515.8,21018.938,22371.339,22037.554,22968.135,23013.228
claims on banks,Q:M:G:A:C:5A:3P - Q:M:G:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5399.78,5298.433,5215.598,5282.373,5354.443,5428.537,5598.04,5522.643,5940.86,5750.436,5809.038,6088.487,6203.406,5798.5,5574.299,5799.867,5801.895,5971.438,5945.71,5867.455,6240.471,6389.549,6164.001,6335.093,6606.514,6539.012,7000.002,6908.746,7477.56,7861.405,8385.818,8232.439,8838.202,9476.935,9557.242,9594.201,10354.387,10635.874,10982.125,11207.763,11385.538,12286.677,12904.893,13237.42,13881.763,15396.361,16038.767,17022.701,18115.174,19527.496,18836.325,17896.346,16589.745,15649.525,15894.002,15823.299,15665.25,15529.028,15177.171,16064.636,15660.595,16247.759,16105.473
claims on non-banks,Q:M:G:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1739.377,1732.797,1758.336,1799.267,1850.346,1839.434,1953.849,1968.255,1961.743,1960.309,1996.107,2019.52,2007.244,1895.995,1937.552,1996.913,2072.738,2066.082,2059.227,2032.432,2077.137,2192.953,2213.455,2241.366,2262.854,2285.208,2411.792,2469.407,2521.927,2717.649,2784.855,2914.937,3040.332,3218.112,3176.33,3235.562,3492.672,3742.934,3765.229,3886.65,3840.42,4227.567,4507.985,4726.075,5073.859,5525.358,5937.771,6253.417,6441.849,7303.853,7103.514,6968.227,6312.72,6081.172,6155.804,6256.205,5995.821,5986.772,5841.767,6306.703,6376.959,6720.376,6907.755
2. Holdings of securities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
